"","0","1","2","3","4"
"170","0150295","秋田県","由利本荘市","東由利老方","字橋脇112"
"171","0158501","秋田県","由利本荘市","尾崎","17"
"172","0158505","秋田県","由利本荘市","表尾崎町","21-2"
"173","0158510","秋田県","由利本荘市","石脇","赤兀1"
"174","0158511","秋田県","由利本荘市","川口","家ノ後38"
"175","0158515","秋田県","由利本荘市","水林","366"
"176","0158530","秋田県","由利本荘市","石脇","田尻30"
"177","0158543","秋田県","由利本荘市","川口","字大鞁森7"
"178","0158555","秋田県","由利本荘市","小人町","117-3"
"179","0158558","秋田県","由利本荘市","大浦","字上谷地114-2"
"180","0158567","秋田県","由利本荘市","岩渕下","110"
"181","0158585","秋田県","由利本荘市","陳場岱","6"
"182","0158601","秋田県","由利本荘市","大町","32(本荘郵便局私書箱第17号)"
"183","0158602","秋田県","由利本荘市","裏尾崎町","51-2(本荘郵便局私書箱第3号)"
"184","0158611","秋田県","由利本荘市","大町","35(本荘郵便局私書箱第4号)"
"185","0158622","秋田県","由利本荘市","給人町","17"
"186","0158630","秋田県","由利本荘市","一番堰","181(本荘郵便局私書箱第9号)"
"187","0158642","秋田県","由利本荘市","表尾崎町","5(本荘郵便局私書箱第29号)"
"188","0158666","秋田県","由利本荘市","石脇","字田尻33(本荘郵便局私書箱第21号)"
"189","0158686","秋田県","由利本荘市","石脇","字赤兀1-372(本荘郵便局私書箱第27号)"
"190","0158688","秋田県","由利本荘市","石脇","字田頭208-2(本荘郵便局私書箱第15号)"
"191","0168501","秋田県","能代市","上町","1-3"
"192","0168555","秋田県","能代市","御指南町","1-10"
"193","0168601","秋田県","能代市","末広町","4-20能代合同庁舎"
"194","0168602","秋田県","能代市","畠町","11-18(能代郵便局私書箱第9号)"
"195","0170292","秋田県","鹿角郡小坂町","小坂","字尾樽部37の2"
"196","0170293","秋田県","鹿角郡小坂町","小坂","字五十刈5-3"
"197","0178510","秋田県","大館市","御成町","3丁目7-58"
"198","0178550","秋田県","大館市","豊町","3-1"
"199","0178555","秋田県","大館市","字中城","20"
"200","0178567","秋田県","大館市","御成町","2丁目3-38"
"201","0178585","秋田県","大館市","御成町","1丁目11-25"
"202","0178686","秋田県","大館市","赤館町","2-16"
"203","0180192","秋田県","にかほ市","象潟町","字浜ノ田1"
"204","0180492","秋田県","にかほ市","平沢","字鳥ノ子渕21"
"205","0180493","秋田県","にかほ市","平沢","字画書面15"
"206","0180692","秋田県","由利本荘市","西目町沼田","字弁天前40-61"
"207","0180795","秋田県","由利本荘市","岩谷町","字日渡100"
"208","0181392","秋田県","由利本荘市","岩城内道川","字新鶴潟50"
"209","0181393","秋田県","由利本荘市","岩城内道川","字井戸ノ沢84番地40"
"210","0181595","秋田県","潟上市","飯田川下虻川","字八ツ口70"
"211","0181596","秋田県","南秋田郡井川町","北川尻","字海老沢樋ノ口78-1"
"212","0181692","秋田県","南秋田郡八郎潟町","字大道","80"
"213","0181792","秋田県","南秋田郡五城目町","西磯ノ目","1丁目1-1"
"214","0181793","秋田県","南秋田郡五城目町","字下タ町","64"
"215","0182498","秋田県","山本郡三種町","鵜川","字岩谷子8"
"216","0183192","秋田県","能代市","二ツ井町","字上台1-1"
"217","0183392","秋田県","北秋田市","花園町","19番1号"
"218","0183393","秋田県","北秋田市","鷹巣","字東中岱76-1"
"219","0183592","秋田県","大館市","岩瀬","字羽貫谷地山下1番地1"
"220","0183593","秋田県","大館市","岩瀬","字大柳上野28番1"
"221","0183595","秋田県","大館市","早口","字上野43-1"
"222","0183596","秋田県","大館市","岩瀬","字上軽石野38の1"
"223","0184392","秋田県","北秋田市","米内沢","字七曲23"
"224","0184494","秋田県","北秋田郡上小阿仁村","小沢田","字向川原118"
"225","0184692","秋田県","北秋田市","阿仁銀山","字下新町41-1"
"226","0184693","秋田県","北秋田市","阿仁高津森",""
"227","0185292","秋田県","鹿角市","花輪","字荒田4-1"
"228","0185792","秋田県","大館市","比内町扇田","字新大堤下93-6"
"229","0185793","秋田県","大館市","比内町扇田","字本道端7-1"
"230","0190792","秋田県","横手市","増田町増田","字土肥館173"
"231","0190793","秋田県","横手市","増田町増田","字石神西70"
"232","0191397","秋田県","仙北郡美郷町","野荒町","字街道ノ上279"
"233","0191692","秋田県","大仙市","太田町太田","字新田田尻3-4"
"234","0192192","秋田県","大仙市","刈和野","字本町5番地(刈和野郵便局私書箱第3号)"
"235","0192492","秋田県","大仙市","協和上淀川","字五百刈田352"
"236","0192692","秋田県","秋田市","河辺和田","字北篠ヶ崎38番地2"
